nickel,lead,iron,gold,copper,aluminium,zinc,uranium,tin,silver
14.02,5.84,-2.39,2.05,2.40,1.68,4.78,0.95,-3.84,3.09
-0.35,-5.90,0.00,4.97,3.52,-0.02,-2.61,1.36,-3.71,-1.20
8.33,-0.05,0.00,-0.49,2.95,2.47,6.02,2.37,3.39,2.75
6.32,-1.79,0.00,2.93,-1.17,-2.46,-1.51,-2.01,4.56,0.77
-2.67,-4.60,0.00,3.90,0.53,-1.89,-4.87,1.54,3.14,2.83
5.56,-2.31,0.00,2.13,3.35,0.93,0.15,0.00,3.62,3.92
-0.14,1.38,0.00,-2.46,-3.78,-1.40,3.33,-0.10,0.24,0.50
-5.62,-4.87,0.00,-0.97,-6.63,-3.33,-5.81,-0.40,-11.16,-7.77
-1.07,-0.89,0.00,2.86,-0.27,0.64,0.98,-0.51,3.38,0.72
2.31,-0.54,0.00,-0.81,0.49,0.75,-0.14,0.41,7.08,-3.73
7.27,5.54,0.00,0.79,6.38,4.71,1.26,0.20,-0.31,2.62
-1.48,-0.05,0.00,4.03,0.75,0.19,3.88,0.20,-0.04,2.62
11.47,0.83,8.99,7.51,3.60,0.25,-1.50,2.83,5.16,4.26
7.16,6.67,0.00,0.59,1.93,3.06,0.43,-0.59,2.86,-3.61
-3.12,-4.17,0.00,-5.13,-1.57,-2.46,0.59,0.00,0.45,-2.86
-4.91,-3.67,0.00,-3.63,-4.10,-3.77,-4.25,0.00,-0.68,-0.24
5.26,5.55,0.00,8.38,3.98,4.95,2.56,7.92,3.79,4.77
5.89,1.15,0.00,0.19,2.06,0.72,1.87,0.00,-1.18,-4.14
-0.08,9.77,0.00,-1.50,1.64,2.15,4.79,0.46,1.18,6.77
5.98,-3.81,0.00,2.49,2.56,1.13,-1.61,2.65,1.46,3.38
6.79,5.51,0.00,5.33,1.88,-2.79,0.46,2.22,2.18,3.52
10.45,12.76,0.00,-0.01,7.59,4.28,9.91,7.66,6.52,-3.21
9.17,5.99,0.00,2.90,6.63,2.33,1.57,6.55,2.60,3.32
17.70,10.83,0.00,4.37,7.24,3.06,6.84,1.29,12.96,8.58
6.37,9.19,18.60,1.68,9.97,3.28,4.01,10.86,6.17,12.70
0.07,17.46,0.00,-2.15,13.64,4.74,6.88,8.45,3.58,1.66
-8.69,-0.79,0.00,0.44,9.03,-1.65,1.47,6.79,14.10,12.62
-7.69,-14.93,0.00,-0.84,-2.44,4.48,-6.62,3.56,17.19,-2.87
-11.77,7.64,0.00,-4.83,-6.78,-6.14,0.20,0.00,5.42,-17.01
21.11,7.42,0.00,2.24,-1.44,3.49,-1.18,0.73,-2.48,0.06
10.45,7.83,0.00,1.46,4.75,1.54,-3.02,0.11,-1.49,8.36
-9.19,-1.58,0.00,0.61,0.97,-0.92,-1.14,0.00,-0.01,5.28
